run_type,task,cell_line,holdout_number,Conv2DRectangularMetaLayer_0_dropout_rate,Conv2DRectangularMetaLayer_0_filters,Conv2DRectangularMetaLayer_0_layers,Conv2DRectangularMetaLayer_0_x_kernel_size,Conv2DRectangularMetaLayer_0_x_pool_size,Conv2DRectangularMetaLayer_0_y_kernel_size,Conv2DRectangularMetaLayer_0_y_pool_size,Conv2DRectangularMetaLayer_1_dropout_rate,Conv2DRectangularMetaLayer_1_filters,Conv2DRectangularMetaLayer_1_layers,Conv2DRectangularMetaLayer_1_x_kernel_size,Conv2DRectangularMetaLayer_1_x_pool_size,Conv2DRectangularMetaLayer_1_y_kernel_size,Conv2DRectangularMetaLayer_1_y_pool_size,DenseRectangularMetaLayer_0_dropout_rate,DenseRectangularMetaLayer_0_layers,DenseRectangularMetaLayer_0_units,DenseRectangularMetaLayer_1_dropout_rate,DenseRectangularMetaLayer_1_layers,DenseRectangularMetaLayer_1_units,loss,accuracy,recall,precision,AUROC,AUPRC,f1_score,balanced_accuracy,specificity,miss_rate,fall_out,mcc
valid,active_enhancers_vs_inactive_enhancers,A549,6,0.4376048583204437,28,0,8,8,1,2,0.31063991540394603,128,1,4,5,2,1,0.2007828612379056,0,7,0.4466710953161947,0,35,0.2231400625780225,0.9431167244911194,0.0,0.0,0.617588996887207,0.10272875428199768,0.0,0.5,1.0,1.0,0.0,0.0
train,active_enhancers_vs_inactive_enhancers,A549,7,0.4853038976365213,42,0,6,6,2,2,0.197856240806152,99,1,5,5,2,1,0.1820814117496052,0,21,0.2626478880343032,0,56,0.22263884100348055,0.9430750012397766,0.0,0.0,0.6207011342048645,0.10898226499557497,0.0,0.5,1.0,1.0,0.0,0.0
test,active_enhancers_vs_inactive_enhancers,A549,7,0.4853038976365213,42,0,6,6,2,2,0.197856240806152,99,1,5,5,2,1,0.1820814117496052,0,21,0.2626478880343032,0,56,0.2245079436898232,0.9430354833602904,0.0,0.0,0.6030190587043762,0.1096997931599617,0.0,0.5,1.0,1.0,0.0,0.0
subtrain,active_enhancers_vs_inactive_enhancers,A549,7,0.4853038976365213,42,0,6,6,2,2,0.197856240806152,99,1,5,5,2,1,0.1820814117496052,0,21,0.2626478880343032,0,56,0.22227179034138625,0.943064510822296,0.0,0.0,0.6186171770095825,0.10887015610933304,0.0,0.5,1.0,1.0,0.0,0.0
valid,active_enhancers_vs_inactive_enhancers,A549,7,0.4853038976365213,42,0,6,6,2,2,0.197856240806152,99,1,5,5,2,1,0.1820814117496052,0,21,0.2626478880343032,0,56,0.22209636624902487,0.9431167244911194,0.0,0.0,0.6289310455322266,0.11096984148025513,0.0,0.5,1.0,1.0,0.0,0.0
train,active_enhancers_vs_inactive_enhancers,A549,8,0.06451706620797837,28,2,5,8,2,1,0.3961530065602776,85,2,8,2,2,1,0.44779636465845385,0,0,0.3699709803804481,0,28,0.2252087240869349,0.9430750012397766,0.0,0.0,0.5997632741928101,0.09584429860115053,0.0,0.5,1.0,1.0,0.0,0.0
test,active_enhancers_vs_inactive_enhancers,A549,8,0.06451706620797837,28,2,5,8,2,1,0.3961530065602776,85,2,8,2,2,1,0.44779636465845385,0,0,0.3699709803804481,0,28,0.2252008758485317,0.9430354833602904,0.0,0.0,0.5753565430641174,0.09154853969812393,0.0,0.5,1.0,1.0,0.0,0.0
subtrain,active_enhancers_vs_inactive_enhancers,A549,8,0.06451706620797837,28,2,5,8,2,1,0.3961530065602776,85,2,8,2,2,1,0.44779636465845385,0,0,0.3699709803804481,0,28,0.22476059034373025,0.943064510822296,0.0,0.0,0.5987441539764404,0.0938836708664894,0.0,0.5,1.0,1.0,0.0,0.0
valid,active_enhancers_vs_inactive_enhancers,A549,8,0.06451706620797837,28,2,5,8,2,1,0.3961530065602776,85,2,8,2,2,1,0.44779636465845385,0,0,0.3699709803804481,0,28,0.2241455402225256,0.9431167244911194,0.0,0.0,0.6041582226753235,0.10549852252006532,0.0,0.5,1.0,1.0,0.0,0.0
train,active_enhancers_vs_inactive_enhancers,A549,9,0.22609512283343386,71,0,6,6,2,2,0.07906446102164756,128,1,6,2,2,1,0.053331139665451235,0,0,0.14166296554101654,0,7,0.21152866981697804,0.9430750012397766,0.0,0.0,0.7287819981575012,0.17678602039813995,0.0,0.5,1.0,1.0,0.0,0.0
test,active_enhancers_vs_inactive_enhancers,A549,9,0.22609512283343386,71,0,6,6,2,2,0.07906446102164756,128,1,6,2,2,1,0.053331139665451235,0,0,0.14166296554101654,0,7,0.2345011967420578,0.9430354833602904,0.0,0.0,0.5509786009788513,0.0767858475446701,0.0,0.5,1.0,1.0,0.0,0.0
