run_type,task,cell_line,holdout_number,Conv2DRectangularMetaLayer_0_dropout_rate,Conv2DRectangularMetaLayer_0_filters,Conv2DRectangularMetaLayer_0_layers,Conv2DRectangularMetaLayer_0_x_kernel_size,Conv2DRectangularMetaLayer_0_x_pool_size,Conv2DRectangularMetaLayer_0_y_kernel_size,Conv2DRectangularMetaLayer_0_y_pool_size,Conv2DRectangularMetaLayer_1_dropout_rate,Conv2DRectangularMetaLayer_1_filters,Conv2DRectangularMetaLayer_1_layers,Conv2DRectangularMetaLayer_1_x_kernel_size,Conv2DRectangularMetaLayer_1_x_pool_size,Conv2DRectangularMetaLayer_1_y_kernel_size,Conv2DRectangularMetaLayer_1_y_pool_size,DenseRectangularMetaLayer_0_dropout_rate,DenseRectangularMetaLayer_0_layers,DenseRectangularMetaLayer_0_units,DenseRectangularMetaLayer_1_dropout_rate,DenseRectangularMetaLayer_1_layers,DenseRectangularMetaLayer_1_units,loss,accuracy,recall,precision,AUROC,AUPRC,f1_score,balanced_accuracy,specificity,miss_rate,fall_out,mcc
train,inactive_enhancers_vs_inactive_promoters,A549,0,0.0163947239448582,14,3,6,4,2,1,0.2755115553526,99,0,4,4,2,2,0.39100138856933586,3,0,0.016366448143633153,1,28,0.41516253728682784,0.8427073359489441,0.8290470838546753,0.9009599089622498,0.9213768243789673,0.9509463310241699,0.8635088801383972,0.8461289405822754,0.8632107973098755,0.1709529310464859,0.13678918778896332,0.6819620728492737
test,inactive_enhancers_vs_inactive_promoters,A549,0,0.0163947239448582,14,3,6,4,2,1,0.2755115553526,99,0,4,4,2,2,0.39100138856933586,3,0,0.016366448143633153,1,28,0.4310935371451908,0.8339865207672119,0.8220027089118958,0.8928701281547546,0.9132076501846313,0.9450482130050659,0.8559721112251282,0.8369877934455872,0.8519728779792786,0.17799732089042664,0.14802713692188263,0.6639911532402039
subtrain,inactive_enhancers_vs_inactive_promoters,A549,0,0.0163947239448582,14,3,6,4,2,1,0.2755115553526,99,0,4,4,2,2,0.39100138856933586,3,0,0.016366448143633153,1,28,0.41567744242953747,0.8425036072731018,0.8285714387893677,0.9010413885116577,0.9210451245307922,0.9507892727851868,0.863288164138794,0.8459932208061218,0.863415002822876,0.17142857611179352,0.13658498227596283,0.6816422939300537
valid,inactive_enhancers_vs_inactive_promoters,A549,0,0.0163947239448582,14,3,6,4,2,1,0.2755115553526,99,0,4,4,2,2,0.39100138856933586,3,0,0.016366448143633153,1,28,0.41280855745711226,0.843522310256958,0.8309495449066162,0.9006351828575134,0.9227062463760376,0.9515773057937622,0.8643901944160461,0.8466717600822449,0.8623939752578735,0.1690504401922226,0.13760602474212646,0.6832453012466431
train,inactive_enhancers_vs_inactive_promoters,A549,1,0.11388704091926047,14,3,6,5,2,1,0.36003018124950537,85,0,5,5,2,2,0.3081127129486635,0,0,0.0021256150150888893,1,14,0.3792246330601245,0.8613576889038086,0.8933061957359314,0.8778350949287415,0.9393201470375061,0.9619812965393066,0.8855030536651611,0.8533554077148438,0.8134045600891113,0.10669383406639099,0.18659545481204987,0.7100182175636292
test,inactive_enhancers_vs_inactive_promoters,A549,1,0.11388704091926047,14,3,6,5,2,1,0.36003018124950537,85,0,5,5,2,2,0.3081127129486635,0,0,0.0021256150150888893,1,14,0.42634211620713913,0.8397815823554993,0.8757535219192505,0.8598673939704895,0.9204605221748352,0.9494783878326416,0.8677377700805664,0.8307727575302124,0.7857920527458191,0.12424648553133011,0.21420793235301971,0.6647997498512268
subtrain,inactive_enhancers_vs_inactive_promoters,A549,1,0.11388704091926047,14,3,6,5,2,1,0.36003018124950537,85,0,5,5,2,2,0.3081127129486635,0,0,0.0021256150150888893,1,14,0.3784845590113319,0.8614408373832703,0.8930228352546692,0.8781646490097046,0.9395248889923096,0.9621700644493103,0.8855314254760742,0.8535304665565491,0.814038097858429,0.10697714984416962,0.18596188724040985,0.7102304100990295
valid,inactive_enhancers_vs_inactive_promoters,A549,1,0.11388704091926047,14,3,6,5,2,1,0.36003018124950537,85,0,5,5,2,2,0.3081127129486635,0,0,0.0021256150150888893,1,14,0.3822557203313138,0.8610250353813171,0.8944393992424011,0.8765212893486023,0.9384932518005371,0.9612219333648682,0.8853896856307983,0.8526548147201538,0.8108702301979065,0.10556059330701828,0.1891297549009323,0.7091741561889648
train,inactive_enhancers_vs_inactive_promoters,A549,2,0.4979840427497928,99,0,4,4,1,1,0.1884733308848756,28,3,7,2,2,1,0.33500999412599886,0,49,0.24352291627204586,2,64,0.4805727852488483,0.8391732573509216,0.8126090168952942,0.9097782969474792,0.9211495518684387,0.9512156248092651,0.8584527373313904,0.8458269834518433,0.8790449500083923,0.1873909831047058,0.12095507234334946,0.6794050931930542
test,inactive_enhancers_vs_inactive_promoters,A549,2,0.4979840427497928,99,0,4,4,1,1,0.1884733308848756,28,3,7,2,2,1,0.33500999412599886,0,49,0.24352291627204586,2,64,0.4989320421830202,0.8277224898338318,0.8043090105056763,0.8979871869087219,0.9099125862121582,0.944352388381958,0.8485705256462097,0.8335862159729004,0.8628633618354797,0.19569100439548492,0.13713663816452026,0.6555039286613464
subtrain,inactive_enhancers_vs_inactive_promoters,A549,2,0.4979840427497928,99,0,4,4,1,1,0.1884733308848756,28,3,7,2,2,1,0.33500999412599886,0,49,0.24352291627204586,2,64,0.4803567595660368,0.8395724892616272,0.8128030896186829,0.9102771878242493,0.9214367270469666,0.9511955976486206,0.8587830662727356,0.8462774753570557,0.8797518014907837,0.18719692528247833,0.12024819105863571,0.6802741289138794
valid,inactive_enhancers_vs_inactive_promoters,A549,2,0.4979840427497928,99,0,4,4,1,1,0.1884733308848756,28,3,7,2,2,1,0.33500999412599886,0,49,0.24352291627204586,2,64,0.48169009165560944,0.8375763893127441,0.811832845211029,0.907785952091217,0.9200097322463989,0.9513022899627686,0.8571323156356812,0.8440251350402832,0.8762174248695374,0.18816716969013214,0.12378259748220444,0.6759295463562012
train,active_vs_inactive,A549,0,0.35768399537564866,0,0,2,5,2,2,0.03746903900267936,28,1,4,5,2,1,0.006292687143886998,2,49,0.22122317577806733,1,42,0.32673828820971884,0.9147871732711792,8.98957223398611e-05,1.0,0.7397438287734985,0.2455306500196457,0.00017977527750190347,0.5000449419021606,1.0,0.9999101161956787,0.0,0.009068372659385204
test,active_vs_inactive,A549,0,0.35768399537564866,0,0,2,5,2,2,0.03746903900267936,28,1,4,5,2,1,0.006292687143886998,2,49,0.22122317577806733,1,42,0.35741440625861287,0.9147821068763733,0.0,0.0,0.6278754472732544,0.15086093544960022,0.0,0.5,1.0,1.0,0.0,0.0
subtrain,active_vs_inactive,A549,0,0.35768399537564866,0,0,2,5,2,2,0.03746903900267936,28,1,4,5,2,1,0.006292687143886998,2,49,0.22122317577806733,1,42,0.32660003408205274,0.9147905111312866,0.00011237217404413968,1.0,0.7413104176521301,0.24510996043682098,0.00022471910051535815,0.5000562071800232,1.0,0.9998876452445984,0.0,0.010138880461454391
valid,active_vs_inactive,A549,0,0.35768399537564866,0,0,2,5,2,2,0.03746903900267936,28,1,4,5,2,1,0.006292687143886998,2,49,0.22122317577806733,1,42,0.32731158403204935,0.9147738218307495,0.0,0.0,0.7334395051002502,0.24729296565055847,0.0,0.5,1.0,1.0,0.0,0.0
train,active_vs_inactive,A549,1,0.30373087825189965,56,0,8,4,2,1,0.35756872523670946,71,1,3,3,2,1,0.20919835962589425,0,14,0.2518593477625991,1,7,0.3157612427192576,0.914779543876648,0.0,0.0,0.7306185364723206,0.21249708533287048,0.0,0.5,1.0,1.0,0.0,0.0
test,active_vs_inactive,A549,1,0.30373087825189965,56,0,8,4,2,1,0.35756872523670946,71,1,3,3,2,1,0.20919835962589425,0,14,0.2518593477625991,1,7,0.31814500817563385,0.9147821068763733,0.0,0.0,0.7059969902038574,0.17920605838298798,0.0,0.5,1.0,1.0,0.0,0.0
subtrain,active_vs_inactive,A549,1,0.30373087825189965,56,0,8,4,2,1,0.35756872523670946,71,1,3,3,2,1,0.20919835962589425,0,14,0.2518593477625991,1,7,0.31587254277923527,0.9147809147834778,0.0,0.0,0.7303406000137329,0.21247060596942902,0.0,0.5,1.0,1.0,0.0,0.0
valid,active_vs_inactive,A549,1,0.30373087825189965,56,0,8,4,2,1,0.35756872523670946,71,1,3,3,2,1,0.20919835962589425,0,14,0.2518593477625991,1,7,0.3153583392793057,0.9147738218307495,0.0,0.0,0.7317285537719727,0.21284431219100952,0.0,0.5,1.0,1.0,0.0,0.0
train,active_vs_inactive,A549,2,0.056460764929561785,42,2,5,5,2,1,0.07904735039559123,85,0,2,2,2,2,0.13798617055415446,2,35,0.3672735287554786,1,56,0.3217879146337509,0.914779543876648,0.0,0.0,0.7368953824043274,0.21861179172992706,0.0,0.5,1.0,1.0,0.0,0.0
test,active_vs_inactive,A549,2,0.056460764929561785,42,2,5,5,2,1,0.07904735039559123,85,0,2,2,2,2,0.13798617055415446,2,35,0.3672735287554786,1,56,0.3260463667102158,0.9147821068763733,0.0,0.0,0.7140296697616577,0.19299542903900146,0.0,0.5,1.0,1.0,0.0,0.0
